ANO;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;HABITACIONES;CAMAS;NUM_EMP
2020;69.698;76364;76;ACTIVO;HOTEL CENTRAL JAMUNDI;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;20;21;2
2020;72.320;76364;76;ACTIVO;PARAISO COLOMBIANO;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2020;72.668;76364;76;ACTIVO;EVENTOS Y LOGISTICA JJ JEY JEY TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2020;76.330;76364;76;ACTIVO;TRANSPORTES ESPECIALES JAMUNDI ¿¿TEJ.¿¿S.A.S.;VALLE DEL CAUCA;JAMUNDI;EMPRESA DE TRANSPORTE TERRESTRE AUTOMOTOR;TRANSPORTE TERRESTRE AUTOMOTOR ESPECIAL;0;0;11
2020;76.640;76364;76;ACTIVO;REPRESENTACIONES AR 912;VALLE DEL CAUCA;JAMUNDI;ARRENDADORES DE VEHÍCULOS PARA TURISMO NACIONAL E INTERNACIONAL;ARRENDADORES DE VEHICULOS PARA TURISMO NACIONAL E INTERNACIONAL;0;0;2
2020;79.788;76364;76;ACTIVO;CARLOS ANDRES JURADO BRAVO;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;OTROS TIPOS DE VIVIENDA TURÍSTICA;3;5;0
2020;83.681;76364;76;ACTIVO;LIDA FERNANDA ECHAVARRIA ARANGO;VALLE DEL CAUCA;JAMUNDI;GUIA DE TURISMO;GUIA DE TURISMO;0;0;1
2020;84.537;76364;76;ACTIVO;BALORKA;VALLE DEL CAUCA;JAMUNDI;VIVIENDAS TURÍSTICAS;FINCAS TURISTICAS (ALOJAMIENTO RURAL);4;4;0
2020;84.958;76364;76;ACTIVO;AVIAJARYAVIVIR;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;1
2020;84.962;76364;76;ACTIVO;ECO CAMINANTES;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES Y DE TURISMO;0;0;1
2020;87.206;76364;76;ACTIVO;JORGE EDUARDO CASTAÑEDA MEJIA;VALLE DEL CAUCA;JAMUNDI;GUIA DE TURISMO;GUIA DE TURISMO;0;0;1
2021;17.595;76364;76;ACTIVO;HOTEL JAMUNDI REAL;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;39;45;3
2021;18.433;76364;76;ACTIVO;LUCHO TOURS;VALLE DEL CAUCA;JAMUNDI;AGENCIA DE VIAJES;AGENCIAS DE VIAJES OPERADORAS;0;0;1
2021;19.559;76364;76;ACTIVO;HOSTAL PANORAMA;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOSTAL;25;31;3
2021;19.560;76364;76;ACTIVO;HOSTAL PARAISO JAMUNDI;VALLE DEL CAUCA;JAMUNDI;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOSTAL;25;31;3
